"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153768","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","456","nw48306.nwmissouri.edu","S-1-5-18","3/31/2023 2:18:00 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153767","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","24124","nw48306.nwmissouri.edu","S-1-5-18","3/31/2023 2:15:11 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153763","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","13084","nw48306.nwmissouri.edu","S-1-5-18","3/31/2023 2:12:50 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153707","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","2600","nw48306.nwmissouri.edu","S-1-5-18","3/30/2023 10:02:42 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153705","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","2600","nw48306.nwmissouri.edu","S-1-5-18","3/30/2023 10:00:36 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153692","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","24344","nw48306.nwmissouri.edu","S-1-5-18","3/30/2023 9:57:53 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153670","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","13684","nw48306.nwmissouri.edu","S-1-5-18","3/30/2023 6:58:41 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153669","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","25288","nw48306.nwmissouri.edu","S-1-5-18","3/30/2023 6:50:03 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153668","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","25288","nw48306.nwmissouri.edu","S-1-5-18","3/30/2023 6:47:46 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153663","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","9024","nw48306.nwmissouri.edu","S-1-5-18","3/30/2023 5:55:56 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
